PROVEEDOR O CONTRATISTA, 	DEPENDENCIA, 	NUMERO DE EXPEDIENTE, 	HECHOS DE LA IRREGULARIDAD, 	OBJETO SOCIAL, 	SENTIDO DE RESOLUCION, 	FECHA DE NOTIFICACION, 	FECHA DE RESOLUCION, 	PLAZO, 	MONTO, 	NOMBRE DEL RESPONSABLE DE LA INFORMACION, 	FECHA DE ACTUALIZACION 
ABASERCOM  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0059/2013,	EL PROVEEDOR OMITIÓ ENTREGAR LA GARANTÍA DE CUMPLIMIENTO DEL CONTRATO NO. D250182.,	,	SANCIONATORIA CON MULTA,	30/07/2015,	22/07/2015,	,	93495.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
ABASTECEDORA Y FABRICACIÓN DE INSUMOS COMERCIALES E INDUSTRIALES  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0030/2008,	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. D75052,	,	SANCIONATORIA CON MULTA,	15/10/2010,	01/10/2010,	,	15171.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
ABEL ZURITA MAYO,	SECRETARIA DE DESARROLLO SOCIAL,	0012/2014,	LA PERSONA FÍSICA ABEL ZURITA MAYO  PRESUNTAMENTE INCUMPLIÓ CON SUS OBLIGACIONES CONTRACTUALES AL NO CONCLUIR EN EL TIEMPO PACTADO LOS TRABAJOS QUE LE FUERON ADJUDICADO MEDIANTE EL CONTRATO DE OBRA SDSDGRO-FON-VIV-002-12-18,	ACTIVIDAD: CONSTRUCCIÓN DE INMUEBLES COMERCIALES  INSTITUCIONALES Y DE SERVICIOS,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	02/07/2015,	29/06/2015,	7 MESES,	284037.81,	,	14/01/2021 08:01
ABEQU  S.A DE C.V.,	INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,	0010/2020,	NO DIÓ CUMPLIMIENTO A LO ESTABLECIDO EN EL CONTRATO DA-SOC-C-050-2016.,	ANTERIORMENTE LA EMPRESA SE DENOMINABA ADVANCE BUILDERS  S.A DE C.V.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	04/10/2020,	02/10/2020,	3 AÑOS 9 MESES,	1643400.00,	KARLA MARÍA  GONZÁLEZ SALCEDO ,	14/01/2021 08:01
ABSORVENTES GOMAR  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0015/2017,	LA EMPRESA INCUMPLIÓ SUS OBLIGACIONES CONTRACTUALES CONTENIDAS EN EL CONTRATO NO. U150491.,	COMPRA  VENTA  FABRICACIÓN  RECICLADO DE MATERIALES  COMERCIALIZACIÓN  DISTRIBUCIÓN  IMPORTACIÓN DE ARTÍCULOS DESECHABLES E HIGIÉNICOS DE USO HOSPITALARIO.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	21/06/2019,	13/06/2019,	10 MESES,	380469.60,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
ACABADOS E INSTALACIONES MOROCO  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0278/2006,	LA EMPRESA POR  CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. 1-053604MA-4-36001 DERIVADO DE LA LICITACION PUBLICA NACIONAL NO. 00641213-015-005,	TRABAJOS DE INSTALACIONES ELECTRICAS  HIDRAULICAS  AIRE ACONDICIONADO  ESPECIALES DE OXIGENO  ACABADOS EN GENERAL  REALIZAR  EJECUTAR Y SUPERVISAR TODA CLASE DE CONSTRUCCION DEL SECTOR PUBLICO Y PRIVADO.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	14/04/2010,	30/03/2010,	3 MESES,	72540.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
ACABADOS Y CONSTRUCCIONES MAAN  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0329/2008,	LA EMPRESA NO CUMPLIÓ CON SUS OBLIGACIONES CONTRACTUALES DERIVADAS DEL  CONTRATO NO. 1-03-17-04-MA-01.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	06/10/2011,	30/09/2011,	3 AÑOS 1 MES,	960819.30,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
ACEROS JAOSA  S.A. DE C.V.,	SECRETARIA DE LA DEFENSA NACIONAL,	0007/2011,	INCUMPLIMIENTO EN LA ENTREGA DE LA PARTIDA NO. 9 QUE AMPARA 600 KG. DE BARRA REDONDA DE ACERO AISI 1045 DE DIAMETRO 9.53 MM. (3/8)  LONGITUD DE CADA BARRA 3.20 A 6.20 METROS.,	COMERCIALIZACIÓN  COMPRA-VENTA  CALIBRACIÓN  PRODUCCIÓN Y TRANSFORMACIÓN DE TODO TIPO DE MATERIALES FERROSOS Y NO FERROSOS Y MINERALES EN SUS DIFERENTES TIPOS Y ACABADOS Y EN GENERAL TODO TIPO DE MERCADERIAS Y BIENES MUEBLES.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	01/06/2011,	23/05/2011,	3 MESES,	86190.00,	JAIME EFRAIN TINOCO MIRANDA,	14/01/2021 08:01
ACEROS Y PAVIMENTOS  S.A. DE C.V.,	SECRETARIA DE COMUNICACIONES Y TRANSPORTES,	0012/2012,	LA EMPRESA SE ABSTUVO DE PRESENTAR LA GARANTÍA DE CUMPLIMIENTO Y EN SU CASO LA ENTREGA DE ANTICIPO ANTES DE LA FIRMA DEL CONTRATO,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	04/09/2013,	02/09/2013,	3 MESES,	96611.50,	HECTOR MANUEL MONTES GAYTAN,	14/01/2021 08:01
ACEROS Y TUBOS ARES  S.A. DE C.V.,	INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,	0027/2007,	NO ENTREGO LOS BIENES CONTRATADOS EN LA FECHA PACTADA.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	23/08/2007,	14/08/2007,	6 MESES,	94060.20,	KARLA MARÍA  GONZÁLEZ SALCEDO ,	14/01/2021 08:01
ACSPORTS  S.A. DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0002/2009,	60  FRACCIÓN IV  DE  LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO. <br>PROPORCIONÓ INFORMACIÓN FALSA Y ACTUÓ CON DOLO EN LA LICITACIÓN PÚBLICA NACIONAL NÚMERO CP-INDE-MXL-BC-2008-05  PARA LA ADQUISICIÓN DE EQUIPAMIENTO DEPORTIVO  CONVOCADA POR EL INSTITUTO DEL DEPORTE Y LA CULTURA FÍSICA DE BAJA CALIFORNIA  AL PRESENTAR COMO PARTE DE SU PROPUESTA  LA DECLARACIÓN DE NACIONALIDAD EN LA QUE MANIFESTÓ BAJO PROTESTA DE DECIR VERDAD  QUE EL MARCADOR ELECTRÓNICO INALÁMBRICO DAKTRONICS SERÍA PRODUCIDO EN MÉXICO Y CONTABA CON GRADO DE INTEGRACIÓN NACIONAL DEL 50%; SIENDO QUE DICHO MARCADOR ES ORIGINARIO DE LOS ESTADOS UNIDOS Y EN SU FABRICACIÓN NO INCLUYE EL VALOR AGREGADO NACIONAL REGULADO; PRETENDIENDO HACER CREER A LA CONVOCANTE QUE CUMPLIÓ CON TAL REQUISITO.,	VENTA DE EQUIPOS DEPORTIVOS Y ACCESORIOS,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	02/12/2009,	09/11/2009,	2 AÑOS 4 MESES,	725742.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
ACTITUD POSITIVA EN TONER  S. DE R.L.  MI.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0493/2008,	LA EMPRESA ACTUÓ CON DOLO AL PRESENTAR INFORMACIÓN FALSA DENTRO DE SU PROPUESTA TÉCNICA,	FABRICACION DE TINTAS PARA IMPRESION,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	29/06/2012,	15/06/2012,	4 MESES,	70798.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
ACTITUD POSITIVA EN TONER  S. DE R.L. DE M.I. ,	INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,	0050/2007,	PRESENTO ESCRITOS PRESUNTAMENTE FALSOS DE LAS EMPRESAS QUE SUPUESTAMENTE GARANTIZABAN EL ABASTO DE LOS BIENES OFERTADOS  RECIBIENDOSE POSTERIORMENTE ESCRITOS DE LAS ESTAS EN LOS QUE SEÑALAN QUE DESCONOCEN A DICHA EMPRESA Y QUE NO FIRMARON LOS ESCRITOS PRESENTADOS POR LA EMPRESA ACTITUD POSITIVA EN TONER  S.A. DE C.V. ,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	03/10/2007,	25/09/2007,	4 AÑOS,	94060.20,	KARLA MARÍA  GONZÁLEZ SALCEDO ,	14/01/2021 08:01
ACTITUD POSITIVA EN TONER  S. DE R.L. MI.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0052/2009,	LA EMPRESA SE CONDUJO CON DOLO AL PRESENTAR PÓLIZA DE FIANZA FALSA DENTRO DEL CONTRATO NO. D70347.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	15/03/2012,	02/03/2012,	2 AÑOS 2 MESES,	75855.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
ADHESIVOS Y SELLADORES  S.A. DE C.V.,	CORPORACIÓN MEXICANA DE INVESTIGACIÓN EN MATERIALES  S. A. DE C. V.,	0001/2012,	SE LE CONMINO A LA FIRMA DEL CONTRATO Y NO SE RECIBIO RESPUESTA POR PARTE DEL PROVEEDOR,	,	SANCIONATORIA CON MULTA,	09/02/2016,	05/02/2015,	,	87885.00,	ERNESTO ALFARO AVENDAÑO,	14/01/2021 08:01
ADIRA CARRILLO ESPINOSA DE LOS MONTEROS,	SECRETARIA DE LA DEFENSA NACIONAL,	0005/2016,	DERIVADO  DE LA CONTRATACION POR ADJUDICACIÓN DIRECTA DE LA REQUISICION NUMERO FP04-R043/2016 CON LA C. CARRILLO ESPINOSA DE LOS MONTEROS PAR LA COMPRA DE 200 PZS DE INSERTO PARA TORNEADO EXTERIOR MACR 3200-R 1025  LA CITADA PERSONA NO SE PRESENTO A FIRMAR EL INSTRUMENTO CONTRATUAL DENOTANDO CONDUCTAS DOLOSAS Y DE MALA FE EN CONTRA DE LA SECRETARÍA DE LA DEFENSA NACIONAL.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	20/01/2017,	28/12/2016,	6 MESES,	113212.00,	JAIME EFRAIN TINOCO MIRANDA,	14/01/2021 08:01
ADIRA CARRILLO ESPINOSA DE LOS MONTEROS,	SECRETARIA DE LA DEFENSA NACIONAL,	0006/2016,	DERIVADO  DE LA CONTRATACION POR ADJUDICACIÓN DIRECTA CON LA C. CARRILLO ESPINOSA DE LOS MONTEROS PAR LA COMPRA DE 200 PZS DE INSERTO PARA TORNEADO EXTERIOR MACR 3200-R 1025  LA CITADA PERSONA NO SE PRESENTO A FIRMAR EL INSTRUMENTO CONTRATUAL DENOTANDO CONDUCTAS DOLOSAS Y DE MALA FE EN CONTRA DE LA SECRETARÍA DE LA DEFENSA NACIONAL.,	,	SANCIONATORIA CON MULTA,	20/01/2017,	28/12/2016,	,	22642.40,	JAIME EFRAIN TINOCO MIRANDA,	14/01/2021 08:01
ADMINISTRACIÓN INMOBILIARIA DE DURANGO  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0064/2008,	LA CONTRATISTA  INCUMPLIÓ CON LOS PROGRAMAS CALENDARIZADOS DE EJECUCIÓN DE OBRA DEL CONTRATO NO. 1-031003-4-10326.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	31/08/2011,	18/08/2011,	3 AÑOS,	978174.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
ADMINISTRACIÓN Y PREVENCIÓN  S.A. DE C.V.,	CORPORACIÓN MEXICANA DE INVESTIGACIÓN EN MATERIALES  S. A. DE C. V.,	0026/2006,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	LA PRESTACIÓN DE TODO TIPO DE ACTOS Y ACTIVIDADES DE SERVICIOS DE SEGURIDAD PRIVADA A CUALQUIER TIPO DE PERSONAS FÍSICAS Y/O MORALES  NACIONALES Y/O EXTRANJERAS PARA CUALQUIER RAMA O COMERCIO  ASÍ COMO TODAS AQUELLAS ACTIVIDADES Y ACTOS QUE DIRECTA O INDIRECTAMENTE SE DERIVEN  RELACIONEN  PROVENGAN O SE GENEREN POR LA PRESTACIÓN DEL SERVICIO ANTES MENCIONADO.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	08/02/2007,	08/02/2007,	3 MESES,	75438.50,	ERNESTO ALFARO AVENDAÑO,	14/01/2021 08:01
ADMINISTRADORA DE CAPITALES DE MÉXICO  S DE R.L.,	SECRETARIA DE COMUNICACIONES Y TRANSPORTES,	0007/2015,	PRESENTÓ DOCUMENTACIÓN PRESUNTAMENTE FALSA EN LA ETAPA DE PRESENTACIÓN Y APERTURA DE PROPOSICIONES DE LOS PROCEDIMIENTOS DE INVITACIÓN A CUANDO MENOS TRES PERSONAS IO-009000967-N75-2014  IO-009000967-N82-2014  IO-009000967-N83-2014 Y IO-009000967-N84-2014  PARA EFECTO DE ACREDITAR LA EXPERIENCIA REQUERIDA EN DICHAS LICITACIONES.,	CONSTRUCCIÓN DE OBRAS DE URBANIZACIÓN,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	28/09/2016,	27/09/2016,	5 AÑOS,	1219788.00,	HECTOR MANUEL MONTES GAYTAN,	14/01/2021 08:01
ADMINSITRADORA PARA HOSPITALES SMK,	PETROLEOS MEXICANOS CORPORATIVO,	0009/2014,	NO FORMALIZACIÓN DEL CONTRATO,	,	SANCIONATORIA CON MULTA,	29/06/2016,	20/06/2016,	,	97140.00,	,	14/01/2021 08:01
ADVAYSER  S.A. DE C.V.,	COLEGIO NACIONAL DE EDUCACIÓN PROFESIONAL TECNICA,	0006/2010,	PROPORCIONÓ INFORMACIÓN FALSA EN EL PROCEDIMIENTO DE CONTRATACIÓN.,	LA COMPRA-VENTA  DISTRIBUCIÓN  IMPORTACIÓN EXPORTACIÓN DE TODA CLASE DE COMPUTADORAS  PERIFERICOS Y SISTEMAS DE COMPUTACIÓN  ETC.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	10/01/2011,	07/01/2011,	1 AÑO 3 MESES,	430950.00,	BENNY CARRASCO VALDIVIESO CARRASCO VALDIVIESO,	14/01/2021 08:01
AERO PARTS CONNECTIONS INC,	PROCURADURIA GENERAL DE LA REPÚBLICA,	0004/2011,	LA EMPRESA AERO PARTS CONNECTIONS  INC.  PRESUNTAMENTE NO ENTREGÓ GARANTÍA DE CUMPLIMIENTO  NO DIO CUMPLIMIENTO A LAS OBLIGACIONES CONTRAIDAS CON LA INSTITUCIÓN EN MÚLTIPLES PARTIDAS  NO HA HECHO DEVOLUCIÓN DE BIENES CORRESPONDIENTES A 93 PARTIDAS Y DIO MAL USO A LOS BIENES QUE LE FUERON ENTREGADOS PARA SU REPARACIÓN; CAUSANDO UN PRESUNTO DAÑO AL ERARIO FEDERAL,	-,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	19/09/2013,	04/09/2013,	5 AÑOS,	1577700.00,	BERTIN VAZQUEZ GONZALEZ,	14/01/2021 08:01
AEROFLASH MENSAJERÍA  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0004/2019,	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. S8M0129,	PRESTACIÓN DE SERVICIOS DE MENSAJERÍA  PAQUETERÍA  ALMACENAJE  LOGISTIA  DISTRIBUCIÓN Y VIGILANCIA.,	SANCIONATORIA CON MULTA,	08/10/2019,	02/10/2019,	,	120900.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
AFAN. S.C.,	PRONOSTICOS PARA LA ASISTENCIA PÚBLICA,	0038/2006,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	PROPORCIONAR SERVICIOS A CUALQUIER CLASE DE EMPRESAS  ORGANISMOS PÚBLICOS  ASOCIACIONES CIVILES E INSTITUCIONES DE ASISTENCIA PRIVADA DE ASESORÍA  CONSULTORÍA Y ASISTENCIA TÉCNICA EN MATERIA FISCAL  CONTABLE  ADMINISTRATIVA Y FINANCIERA  LA ADMINISTRACIÓN  DESARROLLO DE ESTUDIOS DE FACTIBILIDAD  DIRECCIÓN  CONTROL  CAPACITACIÓN Y ELABORACIÓN DE ESTUDIOS DE TODO TIPO.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	15/03/2007,	07/03/2007,	3 MESES,	73005.00,	MELISSA GARCÍA CAMARGO,	14/01/2021 08:01
AG MEDLABIN  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0007/2017,	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. D6M0501 <br> <br>OMITIÓ ENTREGAR EL DOCUMENTO RELATIVO AL CUMPLIMIENTO DE SUS OBLIGACIONES FISCALES.,	LA COMPRA  VENTA  IMPORTACIÓN  EXPORTACIÓN  CONSIGNACIÓN  REPRESENTACIÓN  FABRICACIÓN  MANTENIMIENTO  SERVICIO Y EN GENERAL LA COMERCIALIZACIÓN DE EQUIPOS Y REACTIVOS PARA LABORATORIO E INDUSTRIAS SIMILARES.,	SANCIONATORIA CON MULTA,	15/11/2018,	31/10/2018,	,	111021.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
AG MEDLABIN  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0036/2015,	LA EMPRESA PROPORCIONÓ INFORMACIÓN FALSA,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	25/07/2017,	14/07/2017,	1 AÑO 6 MESES,	100935.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
AGC HOMES CONSTRUCCIÓN Y DISEÑO DE MÉXICO  S.A. DE C.V./COMERCIALIZADORA DE MAQUINARIA  S.A. DE C.V.,	COMISION FEDERAL DE ELECTRICIDAD,	0014/2010,	NO SE PRESENTO REPRESENTANTE ALGUNO DEL CONSORCIO EN LA FECHA DEL VEINTISIETE DE ABRIL DE DOS MIL DIEZ A LA FIRMA DEL CONTRATO COMO ESTABA ESTABELCIDO EN EL ACTA DE FALLO.,	CONSTRUCCIÓN DE CASA  HOTELES  CONDOMINIOS  FRACCIONAMIENTOS Y EN GENERAL TODA CLASE DE OBRAS DE INGENIERÍA CIVIL.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	20/07/2010,	13/07/2010,	3 MESES,	86190.00,	MTRA. VERÓNICA  AGUILERA ORTA ORTA,	14/01/2021 08:01
