asf_case_id,institution_id,match_basis,confidence,note
407,622,exact_norm,high,
409,2685,state_prefixed,medium,
410,4181,exact_norm,high,
411,3697,exact_norm,high,
412,3682,exact_norm,high,
413,3719,exact_norm,high,
414,3664,exact_norm,high,
415,3659,exact_norm,high,
416,3660,exact_norm,high,
417,3690,exact_norm,high,
418,3662,exact_norm,high,
419,3687,exact_norm,high,
420,3684,exact_norm,high,
421,3686,exact_norm,high,
422,3706,exact_norm,high,
423,3661,exact_norm,high,
424,3676,exact_norm,high,
425,3698,exact_norm,high,
426,3720,exact_norm,high,
427,3663,exact_norm,high,
428,3703,exact_norm,high,
429,3694,exact_norm,high,
430,3733,exact_norm,high,
431,3673,exact_norm,high,
432,3701,exact_norm,high,
433,3685,exact_norm,high,
434,3732,exact_norm,high,
435,646,exact_norm_dup,high,
435,3681,exact_norm_dup,high,
436,3666,exact_norm,high,
437,3683,exact_norm,high,
438,3718,exact_norm,high,
439,3672,exact_norm,high,
440,3674,exact_norm,high,
441,3711,exact_norm,high,
442,370,exact_norm,high,
443,3697,exact_norm,high,
444,3682,exact_norm,high,
445,3719,exact_norm,high,
446,3664,exact_norm,high,
447,3659,exact_norm,high,
448,3660,exact_norm,high,
449,3746,alias,high,RUBLI '_Gobierno del Estado de Ciudad de México'
450,3690,exact_norm,high,
451,3662,exact_norm,high,
452,3687,exact_norm,high,
453,3684,exact_norm,high,
454,3686,exact_norm,high,
455,3706,exact_norm,high,
456,3661,exact_norm,high,
457,3676,exact_norm,high,
458,3698,exact_norm,high,
459,3720,exact_norm,high,
460,3663,exact_norm,high,
461,3703,exact_norm,high,
462,3694,exact_norm,high,
463,3733,exact_norm,high,
464,3673,exact_norm,high,
465,3701,exact_norm,high,
466,3685,exact_norm,high,
467,3732,exact_norm,high,
468,646,exact_norm_dup,high,
468,3681,exact_norm_dup,high,
469,3666,exact_norm,high,
470,3683,exact_norm,high,
471,3718,exact_norm,high,
472,3672,exact_norm,high,
473,3674,exact_norm,high,
474,3711,exact_norm,high,
475,370,exact_norm,high,
476,1005,state_prefixed,medium,
477,3870,exact_norm,high,
478,4000,exact_norm,high,
479,454,exact_norm,high,
480,2916,state_prefixed,high,
481,611,exact_norm,high,
483,4115,exact_norm,high,
484,3999,exact_norm,high,
486,605,exact_norm,high,
487,4397,exact_norm,high,
489,480,exact_norm,high,
490,1236,state_prefixed,high,
491,3697,exact_norm,high,
492,3682,exact_norm,high,
493,3719,exact_norm,high,
494,3664,exact_norm,high,
495,3659,exact_norm,high,
496,3660,exact_norm,high,
497,3746,alias,high,RUBLI '_Gobierno del Estado de Ciudad de México'
498,3690,exact_norm,high,
499,3662,exact_norm,high,
500,3687,exact_norm,high,
501,3684,exact_norm,high,
502,3686,exact_norm,high,
503,3706,exact_norm,high,
504,3661,exact_norm,high,
505,3676,exact_norm,high,
506,3698,exact_norm,high,
507,3720,exact_norm,high,
508,3663,exact_norm,high,
509,3703,exact_norm,high,
510,3694,exact_norm,high,
511,3733,exact_norm,high,
512,3673,exact_norm,high,
513,3701,exact_norm,high,
514,3685,exact_norm,high,
515,3732,exact_norm,high,
516,646,exact_norm_dup,high,
516,3681,exact_norm_dup,high,
517,3666,exact_norm,high,
518,3683,exact_norm,high,
519,3718,exact_norm,high,
520,3672,exact_norm,high,
521,3674,exact_norm,high,
522,3711,exact_norm,high,
523,1969,municipality,high,
524,1451,municipality,high,
525,657,municipality,high,
525,1368,municipality,high,
527,655,municipality,high,
528,847,municipality,high,
528,1566,municipality,high,
529,2951,municipality,high,
530,1686,municipality,high,
532,3313,municipality,high,
534,3336,municipality,high,
536,837,municipality,high,
537,1408,municipality,high,
538,2732,municipality,high,
539,2742,municipality,high,
540,2034,municipality,high,
541,1694,municipality,high,
542,1909,municipality,high,
543,3570,municipality,high,
544,858,municipality,high,
544,1485,municipality,high,
545,3391,municipality,high,
546,1107,municipality,high,
546,1955,municipality,high,
547,3017,municipality,high,
548,1712,municipality,high,
549,3067,municipality,high,
550,1424,municipality,high,
551,2336,municipality,high,
552,671,municipality,high,
553,956,municipality,high,
553,3259,municipality,high,
554,839,municipality,high,
554,2608,municipality,high,
555,1954,municipality,high,
556,660,municipality,high,
556,1353,municipality,high,
557,2310,exact_norm,high,
558,2140,alias,high,'GTO-Presidencia Municipal de Silao'
559,828,municipality,high,
559,1860,municipality,high,
561,1105,municipality,high,
562,831,municipality,high,
563,2047,municipality,high,
564,1900,municipality,high,
565,3034,municipality,high,
566,3584,municipality,high,
567,3266,municipality,high,
568,1798,alias,high,'JAL-Presidencia Municipal de Tlaquepaque'
568,857,alias,high,"'H. AYUNTAMIENTO MUNICIPAL DE TLAQUEPAQUE, JALISCO'"
569,2341,municipality,high,
570,1781,municipality,high,
571,2541,municipality,high,
572,1582,municipality,high,
573,2442,municipality,high,
575,2912,municipality,high,
576,2928,municipality,high,
577,855,municipality,high,
577,1492,municipality,high,
578,3532,municipality,high,
579,1642,municipality,high,
580,663,municipality,high,
580,1937,municipality,high,
582,300,exact_norm,high,
583,3167,municipality,high,
587,2600,municipality,high,
588,1927,municipality,high,
589,2891,municipality,high,
590,1357,municipality,high,
591,1841,municipality,high,
592,2384,municipality,high,
593,842,municipality,high,
593,1720,municipality,high,
594,2354,municipality,high,
595,1456,municipality,high,
596,1278,municipality,high,
597,835,municipality,high,
597,851,municipality,high,
597,1365,municipality,high,
598,2447,municipality,high,
600,978,exact_norm,high,
601,843,municipality,high,
601,2565,municipality,high,
602,1654,municipality,high,
603,3007,municipality,high,
604,1033,municipality,high,
604,1569,municipality,high,
606,830,municipality,high,
606,2344,municipality,high,
607,197,municipality,high,
607,1584,municipality,high,
608,1037,municipality,high,
608,1572,municipality,high,
609,1032,municipality,high,
609,2666,municipality,high,
610,1454,municipality,high,
611,556,exact_norm,high,
612,2634,municipality,high,
613,1546,municipality,high,
614,2952,municipality,high,
615,1547,municipality,high,
616,1959,municipality,high,
619,1773,municipality,high,
620,2143,municipality,high,
621,723,municipality,high,
621,1705,municipality,high,
622,3205,municipality,high,
623,2605,municipality,high,
624,1279,municipality,high,
625,2198,municipality,high,
626,3822,exact_norm,high,
627,1213,state_prefixed,high,
628,536,state_prefixed,high,
629,1457,state_prefixed,high,
630,225,exact_norm,high,
631,417,exact_norm,high,
633,772,state_prefixed,high,
633,3325,state_prefixed,high,
634,3974,exact_norm,high,
635,422,state_prefixed,high,
636,226,exact_norm,high,
637,688,exact_norm,high,
638,427,state_prefixed,high,
639,418,exact_norm,high,
640,423,state_prefixed,high,
641,773,exact_norm,high,
642,419,exact_norm,high,
643,424,state_prefixed,high,
644,4067,exact_norm,high,
645,1467,state_prefixed,high,
646,425,exact_norm,high,
647,426,exact_norm,high,
648,591,state_prefixed,high,
648,1685,state_prefixed,high,
649,774,exact_norm,high,
650,775,exact_norm,high,
651,776,exact_norm,high,
654,1917,state_prefixed,high,
655,421,exact_norm,high,
656,589,exact_norm,high,
657,777,exact_norm,high,
658,1338,municipality,high,
659,1797,municipality,high,
660,849,municipality,high,
660,1337,municipality,high,
662,531,municipality,high,
662,2111,municipality,high,
663,1039,municipality,high,
663,1635,municipality,high,
664,1873,municipality,high,
665,951,municipality,high,
665,2661,municipality,high,
668,2254,municipality,high,
669,1407,municipality,high,
670,3183,municipality,high,
671,952,municipality,high,
671,1834,municipality,high,
672,2042,municipality,high,
673,3194,municipality,high,
674,1300,municipality,high,
675,2174,municipality,high,
676,1813,municipality,high,
677,1855,municipality,high,
678,2107,municipality,high,
679,2971,municipality,high,
680,1599,municipality,high,
681,721,municipality,high,
681,1537,municipality,high,
1103,2835,municipality,high,
1104,3249,municipality,high,
1105,2636,municipality,high,
1106,2886,municipality,high,
1107,1931,municipality,high,
1108,2348,municipality,high,
1109,1680,municipality,high,
1110,1528,municipality,high,
1111,665,municipality,high,
1111,1626,municipality,high,
1112,667,municipality,high,
1112,1548,municipality,high,
1113,1731,municipality,high,
1114,1862,municipality,high,
1115,662,municipality,high,
1115,1436,municipality,high,
1116,204,municipality,high,
1116,1589,municipality,high,
1117,1448,municipality,high,
1118,3178,municipality,high,
1119,3243,municipality,high,
1120,836,municipality,high,
1121,2088,municipality,high,
1122,1610,municipality,high,
1123,1527,municipality,high,
1124,649,municipality,high,
1124,1526,municipality,high,
1126,1964,municipality,high,
1127,3138,municipality,high,
1128,1161,municipality,high,
1128,2409,municipality,high,
1129,2379,municipality,high,
1130,1865,municipality,high,
1131,656,municipality,high,
1131,2606,municipality,high,
1132,2614,municipality,high,
1133,2557,municipality,high,
1134,1682,municipality,high,
1134,2249,municipality,high,
1135,1777,municipality,high,
1136,3413,alias,high,'NL-Presidencia Municipal de Carmen'
1137,1416,municipality,high,
1139,955,municipality,high,
1139,1629,municipality,high,
1140,1623,municipality,high,
1141,1820,municipality,high,
1142,3432,municipality,high,
1143,1620,municipality,high,
1144,1605,municipality,high,
1145,1529,municipality,high,
1146,1372,municipality,high,
1147,1195,municipality,high,
1148,2803,municipality,high,
1149,1556,municipality,high,
1150,2412,municipality,high,
1151,1598,municipality,high,
1152,198,municipality,high,
1152,1474,municipality,high,
1153,652,municipality,high,
1153,1461,municipality,high,
1154,2926,municipality,high,
1155,1403,municipality,high,
1156,1580,municipality,high,
1157,1518,municipality,high,
1158,1040,municipality,high,
1158,1507,municipality,high,
1159,666,municipality,high,
1159,1410,municipality,high,
1160,1031,municipality,high,
1160,3113,municipality,high,
1161,658,municipality,high,
1161,846,municipality,high,
1161,1524,municipality,high,
1162,673,municipality,high,
1162,1325,municipality,high,
1163,196,municipality,high,
1163,1511,municipality,high,
1164,524,municipality,high,
1164,1356,municipality,high,
1165,1736,municipality,high,
1165,2256,municipality,high,
1166,881,exact_norm_dup,high,
1166,1164,exact_norm_dup,high,
1167,669,municipality,high,
1167,670,municipality,high,
1167,2607,municipality,high,
1168,1249,municipality,high,
1168,2292,municipality,high,
1169,1127,municipality,high,
1169,1684,municipality,high,
1170,1890,municipality,high,
1171,1384,municipality,high,
1173,1673,municipality,high,
1174,2948,municipality,high,
1175,1163,municipality,high,
1175,2698,municipality,high,
1176,1064,municipality,high,
1176,1750,municipality,high,
1177,2260,municipality,high,
1177,2895,municipality,high,
1178,2432,municipality,high,
1179,1522,municipality,high,
1180,382,exact_norm,high,
1181,3697,exact_norm,high,
1182,3682,exact_norm,high,
1183,3719,exact_norm,high,
1184,3664,exact_norm,high,
1185,3659,exact_norm,high,
1186,3660,exact_norm,high,
1187,3746,alias,high,RUBLI '_Gobierno del Estado de Ciudad de México'
1188,3690,exact_norm,high,
1189,3662,exact_norm,high,
1190,3687,exact_norm,high,
1191,3684,exact_norm,high,
1192,3686,exact_norm,high,
1193,3706,exact_norm,high,
1194,3661,exact_norm,high,
1195,3676,exact_norm,high,
1196,3698,exact_norm,high,
1197,3720,exact_norm,high,
1198,3663,exact_norm,high,
1199,3703,exact_norm,high,
1200,3694,exact_norm,high,
1201,3733,exact_norm,high,
1202,3673,exact_norm,high,
1203,3701,exact_norm,high,
1204,3685,exact_norm,high,
1205,3732,exact_norm,high,
1206,646,exact_norm_dup,high,
1206,3681,exact_norm_dup,high,
1207,3666,exact_norm,high,
1208,3683,exact_norm,high,
1209,3718,exact_norm,high,
1210,3672,exact_norm,high,
1211,3674,exact_norm,high,
1212,3711,exact_norm,high,
1213,1324,exact_norm,high,
1214,2909,municipality,high,
1217,2362,municipality,high,
1218,3122,municipality,high,
1219,1987,municipality,high,
1220,3516,municipality,high,
1221,2818,municipality,high,
1222,3076,municipality,high,
1224,268,exact_norm,high,
1225,2647,municipality,high,
1228,2886,municipality,high,
1229,1038,municipality,high,
1229,2519,municipality,high,
1232,2185,municipality,high,
1234,2462,municipality,high,
1235,2438,municipality,high,
1237,3440,municipality,high,
1238,1804,municipality,high,
1239,3020,municipality,high,
1240,2257,municipality,high,
1240,2450,municipality,high,
1242,2646,municipality,high,
1243,3353,municipality,high,
1244,2979,municipality,high,
1245,2131,municipality,high,
1246,2848,municipality,high,
1247,1049,municipality,high,
1247,2479,municipality,high,
